"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
2;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
3;"D4,D1";"D_SMB";2;"1.5KExxCA";;;
4;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal";;;
5;"U3";"DIP-8_W7.62mm";1;"TC4422";;;
6;"SW1";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile";1;"RST";;;
7;"R9,R3";"R_0805_2012Metric";2;"10k";;;
8;"R8";"R_0805_2012Metric";1;"500";;;
9;"R7,R6";"R_0805_2012Metric";2;"22";;;
10;"R5";"R_0805_2012Metric";1;"10";;;
11;"R2";"R_0805_2012Metric";1;"1k";;;
12;"R1";"R_0805_2012Metric";1;"1.5k";;;
13;"Q1";"TO-220-3_Vertical";1;"IRLZ44N";;;
14;"J5";"TerminalBlock_bornier-2_P5.08mm";1;"FAN";;;
15;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"SWD";;;
16;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"UART";;;
17;"J2";"BarrelJack_Wuerth_6941xx301002";1;"Jack-DC";;;
18;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Micro";;;
19;"D3,D2";"D_SMA";2;"B120-E3";;;
20;"C7,C6";"C_0805_2012Metric";2;"22pF";;;
21;"C5,C2";"C_0805_2012Metric";2;"100pF";;;
22;"C4";"CP_EIA-2012-12_Kemet-R";1;"10uF";;;
23;"C3";"C_0805_2012Metric";1;"0.1uF";;;
24;"C1";"CP_EIA-2012-12_Kemet-R";1;"22uF";;;
